159,Bank of New York Mellon,Financial services,"20,822",8.40%,"48,400","New York City, New York"
160,Hartford Financial Services,Financial services,"20,740",4.60%,"19,500","Hartford, Connecticut"
161,Danaher Corporation,Life Science,"20,521",3.20%,"60,000","Washington, D.C."
162,Whirlpool Corporation,Commercial appliance,"20,419",2.90%,"77,000","Benton Charter Township, Michigan"
163,AECOM,Construction,"20,173",0.10%,"86,000","Los Angeles, California"
164,Netflix,Technology,"20,156",27.60%,"8,600","Los Gatos, California"
165,Kohl's,Retail,"19,974",1.30%,"79,500","Menomonee Falls, Wisconsin"
166,Lear Corporation,Automotive,"19,810",6.30%,"164,100","Southfield, Michigan"
167,Altria,Tobacco,"19,796",0.90%,"7,300","Richmond, Virginia"
168,Performance Food Group,Food Distribution,"19,744",12.10%,"18,000","Richmond, Virginia"
169,Avnet,Electronic distribution,"19,519",2.50%,"15,500","Phoenix, Arizona"
170,Synchrony Financial,Finance,"19,461",6.60%,"16,500","Stamford, Connecticut"
171,Genuine Parts Company,Auto parts,"19,392",3.50%,"55,000","Atlanta, Georgia"
172,NextEra Energy,Electric power,"19,204",14.80%,"14,800","Juno Beach, Florida"
173,CarMax,Retailer,"19,146",6.50%,"25,946","Richmond, Virginia"
174,Tenet Healthcare,Healthcare,"18,479",0.90%,"101,104","Dallas, Texas"
175,Kimberly-Clark,Consumer health,"18,450",0.20%,"40,000","Irving, Texas"
176,Emerson Electric,Electric equipment,"18,372",5.50%,"88,000","Ferguson, Missouri"
177,WestRock,Consumer packaging,"18,289",12.30%,"51,100","Atlanta, Georgia"
178,CDW,Information technology,"18,032",11.00%,"9,900","Lincolnshire, Illinois"
179,JLL,Real estate,"17,983",10.20%,"93,400","Chicago, Illinois"
180,Sherwin-Williams,Paints and Coatings,"17,901",2.10%,"61,111","Cleveland, Ohio"
181,Fluor Corporation,Construction,"17,817",7.00%,"53,349","Irving, Texas"
182,PayPal,Financial technology,"17,772",15.00%,"23,200","San Jose, California"
183,D. R. Horton,Construction,"17,593",9.50%,"8,916","Arlington, Texas"
184,HollyFrontier,Petroleum industry,"17,487",1.30%,"4,074","Dallas, Texas"
185,Tenneco,Auto parts,"17,450",48.30%,"78,000","Lake Forest, Illinois"
186,EOG Resources,Petroleum industry,"17,380",0.60%,"2,900","Houston, Texas"
187,"Becton, Dickinson and Company",Medical devices,"17,290",8.20%,"70,093","Franklin Lakes, New Jersey"
188,Lincoln National Corporation,Insurance,"17,258",5.10%,"11,357","Radnor, Pennsylvania"
189,Pacific Gas and Electric Company,Electric Utility,"17,129",2.20%,"23,000","San Francisco, California"
190,Salesforce,Technology,"17,098",28.90%,"17,098","San Francisco, California"
191,Mastercard,Financial Technology,"16,883",12.90%,"18,600","New York City, New York"
192,General Mills,Food processing,"16,865",7.10%,"40,000","Minneapolis, Minnesota"
193,Molina Healthcare,Healthcare,"16,829",10.90%,"10,000","Long Beach, California"
194,Cognizant,Information technology,"16,783",4.10%,"292,500","Teaneck, New Jersey"
195,Marsh & McLennan Companies,Insurance,"16,652",11.40%,"76,000","New York City, New York"
196,XPO Logistics,Logistics,"16,648",3.70%,"100,000","Greenwich, Connecticut"
197,Dominion Energy,Electric utility,"16,572",24.00%,"19,100","Richmond, Virginia"
198,Western Digital,Computer hardware,"16,569",19.80%,"61,800","San Diego, California"
199,Gap ,Retail,"16,383",1.20%,"129,000","San Francisco, California"
200,Aramark,Food service,"16,227",2.80%,"233,400","Philadelphia, Pennsylvania"
201,Principal Financial Group,Financials,"16,222",13.90%,"17,601","Des Moines, Iowa,"
202,Ross Stores,Retail,"16,039",7.00%,"92,500","Dublin, California"
203,Colgate-Palmolive,Consumer goods,"15,693",1.00%,"34,300","New York City, New York"
204,American Electric Power,Electric utility,"15,561",3.90%,"17,408","Columbus, Ohio"
205,Nordstrom,Retail,"15,524",2.10%,"75,000","Seattle, Washington"
206,Jacobs Engineering Group,Construction,"15,464",3.20%,"50,000","Dallas, Texas"
207,Waste Management,Waste service,"15,455",3.60%,"44,900","Houston, Texas"
208,C. H. Robinson,Logistics,"15,310",7.90%,"15,427","Eden Prairie, Minnesota"
209,PPG Industries,Chemical industry,"15,146",1.50%,"47,600","Pittsburgh, Pennsylvania"
210,Booking Holdings,Travel Technology,"15,066",3.70%,"26,400","Norwalk, Connecticut"
211,Omnicom Group,Advertising,"14,954",2.20%,"70,000","New York City, New York"
212,Loews Corporation,Insurance,"14,931",6.50%,"18,605","New York City, New York"
213,Ecolab,Chemical industry,"14,906",1.60%,"50,200","St. Paul, Minnesota"
214,Stryker Corporation,Medical devices,"14,884",9.40%,"40,000","Kalamazoo, Michigan"
215,Estée Lauder Companies,Cosmetics,"14,863",8.60%,"48,000","New York City, New York"
216,Goodyear Tire and Rubber Company,Manufacturing,"14,745",4.70%,"63,000","Akron, Ohio"
217,Truist Financial,Financials,"14,664",12.80%,"59,000","Charlotte, North Carolina"
218,Applied Materials,Semiconductor,"14,608",15.30%,"22,000","Santa Clara, California"
219,BlackRock,Financials,"14,539",2.40%,"16,200","New York City, New York"
220,Stanley Black & Decker,Hardware,"14,442",3.30%,"59,438","New Britain, Connecticut"
221,Freeport-McMoRan,Metals and Mining,"14,402",22.70%,"27,500","Phoenix, Arizona"
222,Texas Instruments,Semiconductor,"14,383",8.90%,"29,768","Dallas, Texas"
223,Biogen,Biotechnology,"14,378",6.90%,"7,400","Cambridge, Massachusetts"
224,Parker Hannifin,Manufacturing,"14,320",0.10%,"55,610","Cleveland, Ohio"
225,Reinsurance Group of America,Insurance,"14,300",11.10%,"3,188","Chesterfield, Missouri"
226,Howmet Aerospace,Aerospace and defense,"14,192",1.30%,"41,700","Pittsburgh, Pennsylvania"
227,ADP,Business services,"14,175",6.40%,"58,000","Minneapolis, Minnesota"
228,Uber,Technology,"14,147",25.50%,"26,900","San Francisco, California"
229,Illinois Tool Works,Manufacturing,"14,109",4.50%,"45,000","Glenview, Illinois"
230,DaVita ,Healthcare,"14,102",13.90%,"65,000","Denver, Colorado"
231,Discover Financial,Financial Service,"13,989",8.90%,"17,200","Chicago, Illinois"
232,Land O'Lakes,Agriculture,"13,888",7.00%,"8,000","Arden Hills, Minnesota"
233,VF Corporation,Apparel,"13,871",7.80%,"75,000","Denver, Colorado"
234,Corteva,Food production,"13,846",6.90%,"21,000","Wilmington, Delaware"
235,Las Vegas Sands,Hospitality,"13,739",0.10%,"50,000","Paradise, Nevada"
236,Textron,Aerospace and defense,"13,630",2.40%,"35,000","Providence, Rhode Island"
237,Kellogg's,Food processing,"13,578",0.20%,"31,000","Battle Creek, Michigan"
238,Guardian Life Insurance Company of America,Insurance,"13,477",3.50%,"9,032","New York City, New York"
239,Qurate Retail Group,Media,"13,458",4.30%,"25,314","Englewood, Colorado"
240,Core-Mark,Food distribution,"13,329",3.30%,"8,555","Westlake, Texas"
241,Community Health Systems,Healthcare,"13,210",6.70%,"71,500","Franklin, Tennessee"
242,Kinder Morgan,Petroleum industry,"13,209",6.60%,"11,086","Houston, Texas"
243,BJ's Wholesale Club,Retail,"13,191",1.40%,"27,231","Westborough, Massachusetts"
244,State Street Corporation,Financials,"13,131",1.20%,"39,103","Boston, Massachusetts"
245,Ameriprise Financial,Finance,"13,103",1.40%,"12,500","Minneapolis, Minnesota"
246,Global Partners,Energy supply,"13,082",3.20%,"3,860","Waltham, Massachusetts"
247,U.S. Steel,Steel,"12,937",8.80%,"27,500","Pittsburgh, Pennsylvania"
248,L Brands,Retail,"12,914",2.40%,"59,950","Columbus, Ohio"
249,MGM Resorts International,Hospitality,"12,900",9.70%,"72,000","Las Vegas, Nevada"
250,L3Harris Technologies,Aerospace and defense,"12,856",108.00%,"50,000","Melbourne, Florida"
251,Dish Network,Telecommunications,"12,808",6.00%,"16,000","Englewood, Colorado"
252,Lithia Motors,Auto retailer,"12,673",7.20%,"14,320","Medford, Oregon"
253,DTE Energy,Energy utilities,"12,669",10.90%,"10,700","Detroit, Michigan"
254,American Family Insurance,Insurance,"12,633",22.20%,"13,531","Madison, Wisconsin"
255,Farmers Insurance Group,Insurance,"12,593",8.10%,"10,980","San Diego, California"
256,Consolidated Edison,Energy utilities,"12,574",1.90%,"14,890","New York City, New York"
